Flight_ID,Flight_Status,Aircraft_ID,Destination_Airport,Departure_Airport,Departure_Time,Arrival_Time
WK912,En Route,N0438,SYD,PAM,2024-04-11 07:39:32,2024-04-11 18:39:32
PQ915,Landed,N8523,NAP,SYD,2024-04-05 01:35:30,2024-04-05 11:35:30
BE939,Landed,N3371,MDW,SYD,2024-04-05 08:16:34,2024-04-05 18:16:34
GI381,Delayed,N5190,SYD,SMF,2024-04-04 22:58:48,2024-04-05 02:58:48
VD234,En Route,N8915,SYD,DMM,2024-04-10 04:43:34,2024-04-10 12:43:34
LL422,Cancelled,N7041,SZX,SYD,2024-04-08 01:40:36,2024-04-08 08:40:36
CC505,En Route,N3225,SYD,LTS,2024-04-08 09:27:45,2024-04-08 15:27:45
XI049,Delayed,N3574,SYD,GRJ,2024-04-05 22:20:42,2024-04-06 08:20:42
QP174,En Route,N6471,SYD,MSQ,2024-04-10 09:35:45,2024-04-10 10:35:45
LP920,Boarding,N9282,GDL,SYD,2024-04-08 11:25:33,2024-04-08 13:25:33
LQ023,Landed,N2495,NDJ,SYD,2024-04-09 06:43:37,2024-04-09 18:43:37
FP270,En Route,N2516,SYD,MFM,2024-04-07 03:24:35,2024-04-07 05:24:35
OH499,Landed,N6577,KTM,SYD,2024-04-05 07:35:54,2024-04-05 17:35:54
CU870,Landed,N8028,AAL,SYD,2024-04-05 19:23:00,2024-04-06 07:23:00
VB419,Boarding,N4571,DMM,SYD,2024-04-08 11:40:07,2024-04-08 15:40:07
DH503,Boarding,N7865,HKT,SYD,2024-04-11 09:57:57,2024-04-11 12:57:57
IP229,En Route,N7209,SYD,LIR,2024-04-07 01:02:13,2024-04-07 11:02:13
AU144,En Route,N3437,SYD,LAS,2024-04-10 16:11:49,2024-04-10 21:11:49
GT869,Landed,N0101,DLF,SYD,2024-04-09 05:21:37,2024-04-09 12:21:37
AA060,En Route,N5193,SYD,LJU,2024-04-09 16:31:04,2024-04-10 01:31:04
JS767,Landed,N0944,BEY,SYD,2024-04-11 11:09:31,2024-04-11 19:09:31
OX621,Cancelled,N5150,SYD,PVR,2024-04-07 02:31:04,2024-04-07 07:31:04
HY208,Landed,N9892,TSF,SYD,2024-04-07 16:48:58,2024-04-07 18:48:58
IW890,Landed,N8792,CIA,SYD,2024-04-06 01:02:56,2024-04-06 08:02:56
NX823,Boarding,N8785,BWI,SYD,2024-04-10 05:33:23,2024-04-10 06:33:23
XE010,En Route,N6059,SYD,MEM,2024-04-07 19:01:51,2024-04-07 21:01:51
WM107,En Route,N7726,SYD,KIN,2024-04-06 11:38:40,2024-04-06 21:38:40
XQ923,Cancelled,N6540,SYD,FRA,2024-04-05 00:37:58,2024-04-05 09:37:58
RK654,Boarding,N3773,KTW,SYD,2024-04-06 16:56:44,2024-04-07 04:56:44
EF152,Cancelled,N6039,SYD,SKG,2024-04-10 20:55:33,2024-04-11 06:55:33
VA837,Delayed,N8331,PTP,SYD,2024-04-11 11:33:49,2024-04-11 14:33:49
LY114,En Route,N5854,SYD,NBO,2024-04-04 18:15:48,2024-04-04 21:15:48
EZ204,En Route,N4810,SYD,HIB,2024-04-10 10:19:25,2024-04-10 22:19:25
LR400,Boarding,N9461,SBN,SYD,2024-04-07 02:49:17,2024-04-07 04:49:17
GM211,En Route,N7525,SYD,NAY,2024-04-05 07:46:14,2024-04-05 08:46:14
SY157,En Route,N7987,SYD,SIN,2024-04-08 09:19:16,2024-04-08 15:19:16
MY797,En Route,N6141,SYD,WRB,2024-04-07 12:21:51,2024-04-08 00:21:51
GV536,En Route,N3165,SYD,NCL,2024-04-05 05:22:52,2024-04-05 10:22:52
OJ008,Landed,N9183,BRS,SYD,2024-04-04 17:37:21,2024-04-04 23:37:21
GK508,En Route,N5988,SYD,YYC,2024-04-06 01:48:08,2024-04-06 12:48:08
TH733,Landed,N8026,ADA,SYD,2024-04-07 13:38:58,2024-04-07 18:38:58
XL413,Cancelled,N2199,DJJ,SYD,2024-04-10 04:02:46,2024-04-10 11:02:46
CN285,Landed,N6733,MBA,SYD,2024-04-06 03:17:19,2024-04-06 07:17:19
YZ303,Boarding,N1272,BMI,SYD,2024-04-11 15:41:00,2024-04-12 03:41:00
QV784,En Route,N7603,SYD,ITM,2024-04-10 01:52:57,2024-04-10 06:52:57
LL540,En Route,N5791,SYD,REP,2024-04-11 15:05:08,2024-04-11 23:05:08
VI068,En Route,N5285,SYD,AVL,2024-04-09 20:46:37,2024-04-10 04:46:37
YK561,En Route,N9309,SYD,SYX,2024-04-08 04:49:23,2024-04-08 13:49:23
AN075,En Route,N6398,SYD,LCK,2024-04-05 10:31:35,2024-04-05 16:31:35
HU670,En Route,N2163,SYD,BAH,2024-04-07 12:29:41,2024-04-07 19:29:41
LN871,Landed,N2997,MCI,SYD,2024-04-05 03:49:08,2024-04-05 14:49:08
RI666,Boarding,N8465,CRK,SYD,2024-04-09 14:56:38,2024-04-09 16:56:38
RL415,Delayed,N0445,SYD,GOA,2024-04-07 18:01:56,2024-04-07 22:01:56
KG357,Cancelled,N4153,TGD,SYD,2024-04-09 15:05:53,2024-04-10 03:05:53
LR750,Boarding,N8518,SHE,SYD,2024-04-06 14:37:51,2024-04-06 18:37:51
YN953,Landed,N9400,BIL,SYD,2024-04-11 15:08:55,2024-04-11 17:08:55
NY276,En Route,N2565,SYD,DLM,2024-04-09 04:37:11,2024-04-09 16:37:11
SF013,En Route,N3268,SYD,TFN,2024-04-06 00:15:01,2024-04-06 09:15:01
PG092,Landed,N2033,STL,SYD,2024-04-08 11:39:53,2024-04-08 22:39:53
QL874,Boarding,N0563,OPO,SYD,2024-04-07 22:40:03,2024-04-08 04:40:03
RU316,En Route,N9761,SYD,MRU,2024-04-06 22:41:23,2024-04-07 10:41:23
NT075,Landed,N5395,SOQ,SYD,2024-04-11 06:43:11,2024-04-11 15:43:11
OS816,En Route,N4889,SYD,LTX,2024-04-07 05:30:46,2024-04-07 16:30:46
AO145,En Route,N1163,SYD,IAH,2024-04-07 21:49:07,2024-04-08 00:49:07
IB585,Boarding,N7033,MDW,SYD,2024-04-10 13:38:05,2024-04-10 21:38:05
WX596,En Route,N8085,SYD,EDW,2024-04-10 22:05:42,2024-04-11 09:05:42
VY732,Delayed,N2057,SYD,OVB,2024-04-08 08:29:46,2024-04-08 13:29:46
NS663,Boarding,N0357,GUM,SYD,2024-04-08 02:41:35,2024-04-08 06:41:35
NH631,En Route,N9146,SYD,AUS,2024-04-09 19:39:27,2024-04-09 21:39:27
LP797,En Route,N3569,SYD,CMH,2024-04-10 03:38:05,2024-04-10 08:38:05
PE677,Boarding,N4435,ADW,SYD,2024-04-07 09:13:12,2024-04-07 10:13:12
PL871,Delayed,N8263,SYD,CGN,2024-04-11 08:03:34,2024-04-11 11:03:34
MZ763,En Route,N3423,SYD,XMN,2024-04-05 22:18:08,2024-04-06 00:18:08
YC553,En Route,N5154,SYD,FRU,2024-04-10 02:29:09,2024-04-10 07:29:09
WO099,Boarding,N6775,DOV,SYD,2024-04-10 08:53:14,2024-04-10 14:53:14
ZT389,Boarding,N2120,KMG,SYD,2024-04-11 14:00:44,2024-04-11 23:00:44
BI616,Boarding,N0939,CLE,SYD,2024-04-06 13:13:04,2024-04-06 23:13:04
CV683,En Route,N2403,SYD,GYD,2024-04-09 19:51:34,2024-04-10 06:51:34
UM422,Cancelled,N6846,SYD,BJV,2024-04-10 08:37:38,2024-04-10 19:37:38
NW667,En Route,N6270,SYD,IAD,2024-04-06 02:59:10,2024-04-06 10:59:10
AP898,Delayed,N7349,DFW,SYD,2024-04-11 02:43:58,2024-04-11 14:43:58
SN015,Cancelled,N3188,SYD,LIN,2024-04-07 21:10:23,2024-04-08 05:10:23
TD013,En Route,N4057,SYD,RAR,2024-04-08 13:55:19,2024-04-08 20:55:19
MK220,En Route,N7354,SYD,PHL,2024-04-04 18:29:01,2024-04-04 23:29:01
GZ817,Landed,N3446,IND,SYD,2024-04-06 11:21:30,2024-04-06 20:21:30
MC627,Boarding,N0458,DXB,SYD,2024-04-10 09:24:43,2024-04-10 14:24:43
XK685,En Route,N2479,SYD,BOO,2024-04-09 03:00:21,2024-04-09 10:00:21
XW511,Delayed,N5508,SYD,NAP,2024-04-08 15:39:41,2024-04-08 22:39:41
OH794,En Route,N0600,SYD,SAT,2024-04-05 07:12:48,2024-04-05 09:12:48
SA392,Landed,N7933,OKA,SYD,2024-04-10 23:27:48,2024-04-11 11:27:48
HE713,En Route,N6271,SYD,CAG,2024-04-10 19:19:30,2024-04-11 07:19:30
RB285,Landed,N4454,RIX,SYD,2024-04-09 15:20:22,2024-04-10 03:20:22
KB375,Delayed,N0326,SYD,IST,2024-04-08 10:20:02,2024-04-08 16:20:02
GZ718,En Route,N2635,SYD,KEF,2024-04-06 13:32:42,2024-04-06 21:32:42
EG609,Cancelled,N5583,BOI,SYD,2024-04-07 17:17:52,2024-04-08 03:17:52
PI064,Boarding,N0226,PHL,SYD,2024-04-09 02:54:28,2024-04-09 09:54:28
OR202,Landed,N4258,FSM,SYD,2024-04-05 12:53:41,2024-04-05 16:53:41
WU900,Landed,N7211,FNA,SYD,2024-04-06 14:46:11,2024-04-06 20:46:11
JJ752,En Route,N2771,SYD,AKL,2024-04-07 01:09:18,2024-04-07 08:09:18
ZV201,En Route,N7200,SYD,ADB,2024-04-05 07:21:49,2024-04-05 13:21:49
NQ616,En Route,N2113,SYD,LFI,2024-04-05 20:52:58,2024-04-06 07:52:58
HK829,En Route,N5548,SYD,HTS,2024-04-06 18:53:46,2024-04-07 05:53:46
VO098,En Route,N4501,SYD,HET,2024-04-07 20:45:02,2024-04-08 07:45:02
UB771,En Route,N6757,SYD,BEL,2024-04-06 16:26:51,2024-04-06 17:26:51
RA905,Boarding,N5286,DUS,SYD,2024-04-07 05:58:19,2024-04-07 10:58:19
ED007,Boarding,N3892,ODS,SYD,2024-04-11 08:20:51,2024-04-11 20:20:51
KK608,En Route,N1587,SYD,VAR,2024-04-08 14:23:05,2024-04-08 21:23:05
WX890,Delayed,N3774,HEL,SYD,2024-04-09 11:07:15,2024-04-09 16:07:15
ZN016,En Route,N5049,SYD,FSZ,2024-04-11 09:52:17,2024-04-11 16:52:17
GF832,Landed,N1855,STN,SYD,2024-04-08 21:55:22,2024-04-09 07:55:22
SZ099,Delayed,N7363,BEG,SYD,2024-04-05 15:16:19,2024-04-05 20:16:19
BA223,En Route,N4244,SYD,OUA,2024-04-06 19:08:23,2024-04-07 01:08:23
WI897,Delayed,N7210,BHD,SYD,2024-04-10 13:51:23,2024-04-10 19:51:23
NU507,Landed,N3755,GOT,SYD,2024-04-06 05:29:46,2024-04-06 14:29:46
MD240,Cancelled,N2650,SYD,LED,2024-04-07 20:07:27,2024-04-08 06:07:27
UG752,En Route,N0190,SYD,PAM,2024-04-10 16:02:23,2024-04-10 20:02:23
CG818,Boarding,N1676,BMI,SYD,2024-04-06 20:21:13,2024-04-06 21:21:13
SH345,En Route,N1739,SYD,MHT,2024-04-04 22:08:41,2024-04-05 10:08:41
WY658,Landed,N4900,KOJ,SYD,2024-04-10 00:50:17,2024-04-10 08:50:17
JW013,Landed,N5056,MSQ,SYD,2024-04-08 20:56:38,2024-04-08 22:56:38
EQ088,En Route,N1524,SYD,NKC,2024-04-07 04:41:20,2024-04-07 06:41:20
YJ809,En Route,N0141,SYD,BUD,2024-04-09 06:46:00,2024-04-09 09:46:00
KM594,En Route,N8129,SYD,EBB,2024-04-09 14:31:55,2024-04-09 17:31:55
RI821,Landed,N0617,RDU,SYD,2024-04-06 04:53:21,2024-04-06 08:53:21
KG384,Landed,N2961,AYT,SYD,2024-04-09 14:13:34,2024-04-09 22:13:34
IQ361,Landed,N7715,SEZ,SYD,2024-04-08 16:57:05,2024-04-09 04:57:05
HJ812,En Route,N2299,SYD,WRO,2024-04-07 01:09:50,2024-04-07 04:09:50
EY338,En Route,N8927,SYD,CLT,2024-04-07 20:17:06,2024-04-08 08:17:06
LI941,Boarding,N7965,PVD,SYD,2024-04-06 09:43:46,2024-04-06 14:43:46
PZ220,Landed,N7076,SPI,SYD,2024-04-07 20:58:51,2024-04-08 04:58:51
TT517,Landed,N1400,ISB,SYD,2024-04-08 09:24:09,2024-04-08 20:24:09
BR536,En Route,N8850,SYD,TOS,2024-04-09 08:01:16,2024-04-09 14:01:16
IZ240,En Route,N8602,SYD,PHL,2024-04-10 17:36:00,2024-04-10 19:36:00
PF886,Landed,N9518,SUX,SYD,2024-04-08 02:58:48,2024-04-08 04:58:48
TO605,Delayed,N4064,SOF,SYD,2024-04-08 09:55:35,2024-04-08 10:55:35
KK408,Landed,N9278,FKB,SYD,2024-04-08 19:02:32,2024-04-08 21:02:32
BG555,Landed,N3841,CPH,SYD,2024-04-09 00:43:44,2024-04-09 05:43:44
RB433,En Route,N0080,SYD,FNA,2024-04-09 15:01:13,2024-04-09 17:01:13
OL891,En Route,N3363,SYD,COK,2024-04-07 11:53:18,2024-04-07 23:53:18
LG574,En Route,N2970,SYD,SDF,2024-04-07 05:33:02,2024-04-07 12:33:02
FR095,En Route,N5510,SYD,MAN,2024-04-05 04:46:02,2024-04-05 11:46:02
WK357,Boarding,N8813,VKO,SYD,2024-04-10 05:00:00,2024-04-10 10:00:00
PB467,En Route,N4957,SYD,PMO,2024-04-06 02:56:20,2024-04-06 07:56:20
EW879,En Route,N6252,SYD,SYX,2024-04-11 11:17:27,2024-04-11 19:17:27
KJ398,Boarding,N8906,CTU,SYD,2024-04-05 21:17:23,2024-04-06 09:17:23
KJ434,Boarding,N9496,SPS,SYD,2024-04-08 14:54:19,2024-04-08 15:54:19
GO867,En Route,N5025,SYD,FFD,2024-04-08 14:31:25,2024-04-08 20:31:25
PX631,Delayed,N7606,SZL,SYD,2024-04-07 03:35:15,2024-04-07 10:35:15
HU120,Boarding,N9926,ICT,SYD,2024-04-05 01:35:18,2024-04-05 06:35:18
ER382,En Route,N8458,SYD,KWI,2024-04-07 15:02:58,2024-04-07 18:02:58
XE638,Landed,N5811,MLI,SYD,2024-04-10 22:37:12,2024-04-11 02:37:12
TK320,Cancelled,N4959,SUU,SYD,2024-04-08 07:27:29,2024-04-08 14:27:29
LJ110,En Route,N6954,SYD,YYZ,2024-04-04 23:24:49,2024-04-05 07:24:49
TO345,En Route,N8896,SYD,CTA,2024-04-05 15:29:34,2024-04-06 03:29:34
MF906,Delayed,N8320,SYD,ATH,2024-04-09 08:43:25,2024-04-09 16:43:25
DY498,En Route,N5209,SYD,CLT,2024-04-06 15:17:26,2024-04-06 16:17:26
FR148,Cancelled,N7111,SYD,AMM,2024-04-05 20:10:48,2024-04-06 00:10:48
AB909,Delayed,N4455,SYD,SRQ,2024-04-07 16:23:16,2024-04-07 18:23:16
YL760,En Route,N0069,SYD,FIH,2024-04-09 15:26:00,2024-04-09 18:26:00
MT919,En Route,N3890,SYD,GVA,2024-04-05 05:25:23,2024-04-05 06:25:23
IB991,Boarding,N4420,GEG,SYD,2024-04-05 20:49:20,2024-04-06 06:49:20
VA369,En Route,N3618,SYD,FLL,2024-04-09 15:53:46,2024-04-09 19:53:46
FN655,En Route,N0310,SYD,BWN,2024-04-08 05:23:09,2024-04-08 09:23:09
SS489,En Route,N4739,SYD,PIA,2024-04-09 22:26:39,2024-04-10 08:26:39
MC783,Cancelled,N8726,SYD,ATQ,2024-04-08 11:20:52,2024-04-08 17:20:52
CR371,En Route,N5877,SYD,LEX,2024-04-07 19:56:03,2024-04-08 04:56:03
VE813,En Route,N4755,SYD,HSV,2024-04-06 00:28:34,2024-04-06 04:28:34
AG862,Boarding,N0077,LTS,SYD,2024-04-09 22:31:34,2024-04-10 06:31:34
MM004,Landed,N7814,MCI,SYD,2024-04-10 20:24:43,2024-04-11 07:24:43
EG142,En Route,N4316,SYD,EZE,2024-04-09 15:56:18,2024-04-09 17:56:18
BF502,En Route,N9703,SYD,MGE,2024-04-09 02:45:26,2024-04-09 09:45:26
LY621,En Route,N0950,SYD,HAV,2024-04-10 07:40:26,2024-04-10 08:40:26
PS653,Cancelled,N7318,SYD,MXP,2024-04-05 20:44:02,2024-04-05 21:44:02
IF735,En Route,N3348,SYD,DKR,2024-04-06 22:02:12,2024-04-07 09:02:12
ER573,En Route,N1289,SYD,YYZ,2024-04-07 16:16:34,2024-04-07 23:16:34
BQ950,En Route,N9262,SYD,NWI,2024-04-11 12:30:30,2024-04-11 21:30:30
BX456,En Route,N1439,SYD,BHX,2024-04-05 23:31:44,2024-04-06 09:31:44
LS183,Landed,N7314,LBB,SYD,2024-04-06 04:43:04,2024-04-06 05:43:04
OD933,En Route,N4172,SYD,MDL,2024-04-08 11:37:45,2024-04-08 21:37:45
GK625,En Route,N6689,SYD,OTP,2024-04-07 14:22:54,2024-04-07 21:22:54
JX118,En Route,N8869,SYD,AMM,2024-04-07 12:34:06,2024-04-08 00:34:06
CZ900,Delayed,N5511,SOU,SYD,2024-04-07 18:48:08,2024-04-07 19:48:08
KB691,Landed,N8635,SJD,SYD,2024-04-10 13:13:02,2024-04-10 14:13:02
FZ039,En Route,N2935,SYD,CRK,2024-04-10 02:59:35,2024-04-10 09:59:35
FO120,En Route,N5183,SYD,VVI,2024-04-08 17:52:39,2024-04-08 22:52:39
KG256,Cancelled,N2833,SYD,OTP,2024-04-06 08:14:42,2024-04-06 13:14:42
IJ554,En Route,N8178,SYD,HGH,2024-04-10 00:40:47,2024-04-10 03:40:47
UI778,Boarding,N4936,LIR,SYD,2024-04-08 06:30:03,2024-04-08 11:30:03
NW334,Landed,N8629,VAR,SYD,2024-04-09 02:49:20,2024-04-09 11:49:20
DJ090,En Route,N3131,SYD,SAW,2024-04-06 10:15:00,2024-04-06 21:15:00
HD860,Landed,N0943,AYT,SYD,2024-04-06 08:52:24,2024-04-06 18:52:24
AV729,Boarding,N6085,PIT,SYD,2024-04-06 10:52:13,2024-04-06 17:52:13
CL542,En Route,N4925,SYD,GDL,2024-04-09 08:39:05,2024-04-09 20:39:05
WD617,Boarding,N7917,MRU,SYD,2024-04-09 14:11:21,2024-04-10 00:11:21
HW639,Boarding,N8582,MOB,SYD,2024-04-10 03:31:36,2024-04-10 15:31:36
OH521,Landed,N0151,AKT,SYD,2024-04-09 22:22:40,2024-04-10 10:22:40
LG422,En Route,N0270,SYD,ZIA,2024-04-07 04:30:59,2024-04-07 11:30:59
GP162,Boarding,N5206,LCK,SYD,2024-04-10 03:28:12,2024-04-10 10:28:12
AQ963,Landed,N0453,SIN,SYD,2024-04-11 16:22:50,2024-04-11 20:22:50
DE016,En Route,N1324,SYD,LGA,2024-04-08 03:05:35,2024-04-08 09:05:35
LG309,Landed,N3486,FUK,SYD,2024-04-07 18:27:03,2024-04-08 03:27:03
MZ570,Cancelled,N1374,SYD,BHM,2024-04-09 13:50:24,2024-04-09 22:50:24
VW666,En Route,N7750,SYD,SVX,2024-04-05 00:30:53,2024-04-05 03:30:53
LM338,En Route,N3882,SYD,PHX,2024-04-11 06:37:57,2024-04-11 13:37:57
IK250,En Route,N2811,SYD,VCE,2024-04-05 01:40:53,2024-04-05 11:40:53
WF822,Delayed,N8111,SYD,WLG,2024-04-05 00:01:41,2024-04-05 02:01:41
OL196,En Route,N1769,SYD,FKB,2024-04-07 03:41:02,2024-04-07 14:41:02
CC998,Delayed,N9326,SYX,SYD,2024-04-07 16:48:11,2024-04-07 23:48:11
FI891,Delayed,N4780,SYD,BMI,2024-04-06 04:57:27,2024-04-06 14:57:27
GO780,Landed,N7008,SHA,SYD,2024-04-11 00:42:40,2024-04-11 01:42:40
IL188,Boarding,N5945,HKG,SYD,2024-04-06 04:01:03,2024-04-06 14:01:03
WA442,Boarding,N2734,CVS,SYD,2024-04-10 13:45:37,2024-04-11 01:45:37
FZ431,Delayed,N5474,SYD,NCE,2024-04-11 11:55:45,2024-04-11 22:55:45
KP605,Boarding,N3511,PUS,SYD,2024-04-05 07:18:38,2024-04-05 10:18:38
AK879,En Route,N0170,SYD,TYS,2024-04-07 19:06:32,2024-04-07 20:06:32
IX736,En Route,N7512,SYD,AER,2024-04-06 06:16:46,2024-04-06 14:16:46
RY151,Boarding,N4559,FRA,SYD,2024-04-06 01:54:46,2024-04-06 11:54:46
EN277,Boarding,N7296,BWN,SYD,2024-04-06 08:19:47,2024-04-06 14:19:47
ZP520,En Route,N7643,SYD,SAN,2024-04-07 01:15:44,2024-04-07 09:15:44
PU538,Boarding,N8778,CLT,SYD,2024-04-05 13:27:09,2024-04-05 15:27:09
DF827,Boarding,N2648,SVG,SYD,2024-04-10 07:55:39,2024-04-10 09:55:39
VB575,En Route,N7231,SYD,TSF,2024-04-06 00:01:56,2024-04-06 10:01:56
FK328,Boarding,N3635,DSM,SYD,2024-04-10 01:19:51,2024-04-10 11:19:51
FI254,En Route,N8585,SYD,EDW,2024-04-11 16:06:43,2024-04-11 23:06:43
JJ172,En Route,N1192,SYD,CMN,2024-04-09 14:39:43,2024-04-10 00:39:43
OO036,Boarding,N0838,KAN,SYD,2024-04-04 17:04:59,2024-04-05 04:04:59
XX436,En Route,N8608,SYD,PHF,2024-04-06 04:44:41,2024-04-06 10:44:41
OJ067,Landed,N1644,GUA,SYD,2024-04-05 01:39:44,2024-04-05 11:39:44
LV071,Delayed,N0130,SYD,LIS,2024-04-07 13:20:10,2024-04-07 19:20:10
XF108,Cancelled,N7778,SYD,ULN,2024-04-11 00:25:56,2024-04-11 08:25:56
FJ120,Landed,N3161,FKB,SYD,2024-04-05 18:03:13,2024-04-06 01:03:13
BH385,En Route,N2148,SYD,LIS,2024-04-11 14:34:06,2024-04-11 20:34:06
EH696,Boarding,N6567,PHX,SYD,2024-04-07 11:25:33,2024-04-07 21:25:33
PB985,En Route,N3768,SYD,SAN,2024-04-09 07:22:55,2024-04-09 10:22:55
YV703,Boarding,N0043,NBO,SYD,2024-04-08 06:56:09,2024-04-08 08:56:09
GQ446,En Route,N8427,SYD,MMX,2024-04-06 19:45:17,2024-04-07 03:45:17
OG399,Boarding,N2265,ISL,SYD,2024-04-06 11:14:43,2024-04-06 20:14:43
RW746,Landed,N3787,DOH,SYD,2024-04-09 20:56:40,2024-04-10 06:56:40
DI567,Landed,N1673,BHD,SYD,2024-04-05 02:03:02,2024-04-05 11:03:02
PZ572,Delayed,N6503,SYD,BSR,2024-04-05 09:35:52,2024-04-05 18:35:52
WI006,Boarding,N2875,PDX,SYD,2024-04-07 10:36:16,2024-04-07 19:36:16
WQ948,En Route,N5680,SYD,HRE,2024-04-05 23:24:10,2024-04-06 07:24:10
EH419,En Route,N1379,SYD,HRE,2024-04-09 17:53:34,2024-04-10 01:53:34
RU137,En Route,N1183,SYD,BGO,2024-04-05 04:25:28,2024-04-05 06:25:28
UC704,En Route,N4441,SYD,GOI,2024-04-04 17:12:29,2024-04-04 20:12:29
CI266,En Route,N3488,SYD,SMF,2024-04-06 04:47:06,2024-04-06 13:47:06
WF423,Boarding,N8144,CRK,SYD,2024-04-08 23:56:45,2024-04-09 07:56:45
WX390,Boarding,N7974,CVG,SYD,2024-04-05 15:23:13,2024-04-05 17:23:13
WS668,Landed,N9397,KRT,SYD,2024-04-08 16:16:14,2024-04-09 04:16:14
RK517,Boarding,N1612,ABV,SYD,2024-04-11 05:06:42,2024-04-11 16:06:42
KG241,Boarding,N0961,QUO,SYD,2024-04-06 23:07:29,2024-04-07 04:07:29
PL472,Boarding,N3770,ISE,SYD,2024-04-05 13:21:42,2024-04-05 22:21:42
HI320,Cancelled,N1076,SYD,TLV,2024-04-11 03:49:27,2024-04-11 09:49:27
IN642,En Route,N2885,SYD,MLU,2024-04-07 22:10:05,2024-04-08 02:10:05
BK633,Boarding,N2275,OAK,SYD,2024-04-10 09:35:22,2024-04-10 12:35:22
BD261,En Route,N6219,SYD,SID,2024-04-06 08:34:27,2024-04-06 20:34:27
