Aircraft_ID,Airline_Name,Model_ID,Manufactured_Date
AC00152,Delta Air Lines,Airbus A320-200,2015-12-15
AC00153,Delta Air Lines,Boeing 737 MAX 8,1996-05-07
AC00154,Delta Air Lines,Airbus A330-300,2013-08-17
AC00155,Delta Air Lines,Boeing 747-400,2001-08-19
AC00156,Delta Air Lines,Boeing 777-300ER,2016-09-24
AC00157,Delta Air Lines,Boeing 747-400,2004-05-21
AC00158,Delta Air Lines,Airbus A350-900,2014-03-21
AC00159,Delta Air Lines,Airbus A330-300,2015-02-06
AC00160,Delta Air Lines,Boeing 747-400,2009-06-23
AC00161,Delta Air Lines,Boeing 747-400,2013-07-24
AC00162,Delta Air Lines,Airbus A320-200,2009-01-21
AC00163,Delta Air Lines,Boeing 787-9 Dreamliner,2001-11-17
AC00164,Delta Air Lines,Airbus A350-900,2008-10-31
AC00165,Delta Air Lines,Boeing 737 MAX 8,2016-11-10
AC00166,Delta Air Lines,Boeing 747-400,2000-02-29
AC00167,Delta Air Lines,Airbus A380-800,2014-07-10
AC00168,Delta Air Lines,Airbus A220-300,2000-11-29
AC00169,Delta Air Lines,Boeing 737-800,2001-01-16
AC00170,Delta Air Lines,Airbus A220-300,2016-11-14
AC00171,Delta Air Lines,Airbus A350-900,2015-04-01
AC00172,Delta Air Lines,Airbus A330-300,2002-03-16
AC00173,Delta Air Lines,Boeing 737 MAX 8,2021-08-25
AC00174,Delta Air Lines,Airbus A350-900,2007-05-21
AC00175,Delta Air Lines,Boeing 787-9 Dreamliner,2000-03-03
AC00176,Delta Air Lines,Boeing 777-300ER,2001-02-01
AC00177,Delta Air Lines,Airbus A220-300,1996-12-17
AC00178,Delta Air Lines,Boeing 787-9 Dreamliner,2011-06-01
AC00179,Delta Air Lines,Boeing 747-400,2012-12-26
AC00180,Delta Air Lines,Airbus A320-200,2004-02-16
AC00181,Delta Air Lines,Boeing 777-300ER,2021-07-27
AC00182,Delta Air Lines,Airbus A350-900,2016-06-27
AC00183,Delta Air Lines,Boeing 777-300ER,2020-09-30
AC00184,Delta Air Lines,Boeing 747-400,1998-08-21
AC00185,Delta Air Lines,Boeing 737-800,2010-02-27
AC00186,Delta Air Lines,Boeing 747-400,2001-06-11
AC00187,Delta Air Lines,Boeing 787-9 Dreamliner,2009-05-04
AC00188,Delta Air Lines,Boeing 737-800,2007-01-21
AC00189,Delta Air Lines,Boeing 737-800,2016-04-07
AC00190,Delta Air Lines,Airbus A320-200,2007-11-27
AC00191,Delta Air Lines,Boeing 737-800,2009-03-27
AC00192,Delta Air Lines,Boeing 777-300ER,2016-09-04
AC00193,Delta Air Lines,Airbus A220-300,2020-03-24
AC00194,Delta Air Lines,Boeing 777-300ER,2000-05-19
AC00195,Delta Air Lines,Airbus A220-300,2021-11-19
AC00196,Delta Air Lines,Boeing 787-9 Dreamliner,2004-08-28
AC00197,Delta Air Lines,Airbus A380-800,2013-08-30
AC00198,Delta Air Lines,Airbus A350-900,2012-07-25
AC00199,Delta Air Lines,Boeing 777-300ER,2022-06-30
AC00200,Delta Air Lines,Airbus A220-300,1997-10-14
AC00201,Delta Air Lines,Airbus A350-900,2011-08-14
AC00202,Delta Air Lines,Airbus A330-300,2000-12-30
AC00203,Delta Air Lines,Airbus A350-900,2001-09-24
AC00204,Delta Air Lines,Boeing 777-300ER,2008-04-28
AC00205,Delta Air Lines,Boeing 737-800,2012-08-23
AC00206,Delta Air Lines,Boeing 737 MAX 8,2009-02-06
AC00207,Delta Air Lines,Boeing 747-400,2001-06-16
AC00208,Delta Air Lines,Boeing 747-400,2009-03-12
AC00209,Delta Air Lines,Airbus A220-300,2022-12-16
AC00210,Delta Air Lines,Airbus A350-900,2013-11-26
AC00211,Delta Air Lines,Boeing 737 MAX 8,2018-03-03
AC00212,Delta Air Lines,Boeing 777-300ER,2010-03-07
AC00213,Delta Air Lines,Airbus A330-300,2021-02-26
AC00214,Delta Air Lines,Airbus A320-200,2012-02-11
AC00215,Delta Air Lines,Boeing 747-400,2002-08-21
AC00216,Delta Air Lines,Airbus A350-900,2003-02-05
AC00217,Delta Air Lines,Airbus A220-300,2022-09-17
AC00218,Delta Air Lines,Airbus A220-300,2012-04-06
AC00219,Delta Air Lines,Airbus A350-900,2008-12-18
AC00220,Delta Air Lines,Airbus A380-800,1999-10-08
AC00221,Delta Air Lines,Airbus A350-900,2013-06-01
AC00222,Delta Air Lines,Boeing 787-9 Dreamliner,2016-11-04
AC00223,Delta Air Lines,Airbus A350-900,2019-12-14
AC00224,Delta Air Lines,Airbus A320-200,2022-01-15
AC00225,Delta Air Lines,Airbus A220-300,2010-01-14
AC00226,Delta Air Lines,Boeing 747-400,2000-11-14
AC00227,Delta Air Lines,Airbus A380-800,2002-11-12
AC00228,Delta Air Lines,Boeing 737 MAX 8,1998-03-17
AC00229,Delta Air Lines,Airbus A380-800,2019-03-11
AC00230,Delta Air Lines,Boeing 777-300ER,1996-08-14
AC00231,Delta Air Lines,Airbus A350-900,2015-04-06
AC00232,Delta Air Lines,Airbus A350-900,2009-01-15
AC00233,Delta Air Lines,Airbus A220-300,1998-03-10
AC00234,Delta Air Lines,Boeing 737 MAX 8,2019-09-15
AC00235,Delta Air Lines,Airbus A320-200,2022-11-14
AC00236,Delta Air Lines,Boeing 747-400,2016-12-03
AC00237,Delta Air Lines,Boeing 737-800,2002-09-12
AC00238,Delta Air Lines,Airbus A220-300,1997-08-16
AC00239,Delta Air Lines,Boeing 737-800,2020-09-19
AC00240,Delta Air Lines,Boeing 737 MAX 8,2013-05-09
AC00241,Delta Air Lines,Boeing 747-400,2009-06-08
AC00242,Delta Air Lines,Boeing 737 MAX 8,2016-06-13
AC00243,Delta Air Lines,Airbus A380-800,2006-02-11
AC00244,Delta Air Lines,Airbus A320-200,1997-10-28
AC00245,Delta Air Lines,Airbus A380-800,2003-07-19
AC00246,Delta Air Lines,Airbus A330-300,2001-05-31
AC00247,Delta Air Lines,Boeing 737 MAX 8,2005-04-20
AC00248,Delta Air Lines,Airbus A350-900,2013-02-27
AC00249,Delta Air Lines,Airbus A320-200,1995-09-22
AC00250,Delta Air Lines,Boeing 737-800,2014-07-19
AC00251,Delta Air Lines,Airbus A220-300,2021-02-26
AC00252,Delta Air Lines,Boeing 737-800,1998-09-28
AC00253,Delta Air Lines,Boeing 787-9 Dreamliner,2001-04-17
AC00254,Delta Air Lines,Boeing 737-800,2004-05-08
AC00255,Delta Air Lines,Boeing 777-300ER,2002-12-25
AC00256,Delta Air Lines,Boeing 737 MAX 8,2011-09-19
AC00257,Delta Air Lines,Boeing 777-300ER,2020-03-18
AC00258,Delta Air Lines,Boeing 747-400,2005-02-04
AC00259,Delta Air Lines,Airbus A220-300,2015-01-24
AC00260,Delta Air Lines,Airbus A380-800,2010-10-07
AC00261,Delta Air Lines,Airbus A320-200,2016-01-08
AC00262,Delta Air Lines,Boeing 747-400,2010-01-17
AC00263,Delta Air Lines,Airbus A350-900,2020-12-08
AC00264,Delta Air Lines,Boeing 777-300ER,1996-05-23
AC00265,Delta Air Lines,Airbus A380-800,2004-08-14
AC00266,Delta Air Lines,Boeing 737-800,2019-01-04
AC00267,Delta Air Lines,Airbus A220-300,2009-05-29
AC00268,Delta Air Lines,Boeing 737 MAX 8,2016-07-11
AC00269,Delta Air Lines,Airbus A330-300,2012-03-21
AC00270,Delta Air Lines,Airbus A380-800,2008-06-25
AC00271,Delta Air Lines,Airbus A350-900,2009-03-30
AC00272,Delta Air Lines,Boeing 747-400,1996-10-06
AC00273,Delta Air Lines,Boeing 737-800,1998-08-13
AC00274,Delta Air Lines,Boeing 747-400,2006-08-07
AC00275,Delta Air Lines,Boeing 787-9 Dreamliner,2001-08-14
AC00276,Delta Air Lines,Boeing 787-9 Dreamliner,2018-10-21
AC00277,Delta Air Lines,Boeing 747-400,2013-12-06
AC00278,Delta Air Lines,Boeing 737-800,2006-01-29
AC00279,Delta Air Lines,Airbus A380-800,2013-06-20
AC00280,Delta Air Lines,Airbus A330-300,2017-10-06
AC00281,Delta Air Lines,Boeing 737 MAX 8,2001-05-22
AC00282,Delta Air Lines,Airbus A320-200,2009-02-18
AC00283,Delta Air Lines,Airbus A220-300,2018-10-25
AC00284,Delta Air Lines,Boeing 787-9 Dreamliner,2010-02-03
AC00285,Delta Air Lines,Boeing 777-300ER,2003-04-11
AC00286,Delta Air Lines,Boeing 747-400,2004-01-17
AC00287,Delta Air Lines,Airbus A350-900,2001-02-24
AC00288,Delta Air Lines,Boeing 787-9 Dreamliner,2000-12-25
AC00289,Delta Air Lines,Boeing 787-9 Dreamliner,2007-06-23
AC00290,Delta Air Lines,Boeing 737 MAX 8,1998-04-25
AC00291,Delta Air Lines,Boeing 737 MAX 8,2012-07-08
AC00292,Delta Air Lines,Boeing 747-400,2008-02-22
AC00293,Delta Air Lines,Boeing 747-400,2022-04-06
AC00294,Delta Air Lines,Boeing 737 MAX 8,2001-12-19
AC00295,Delta Air Lines,Boeing 787-9 Dreamliner,2008-12-03
AC00296,Delta Air Lines,Boeing 777-300ER,2006-11-21
AC00297,Delta Air Lines,Airbus A320-200,2007-02-01
AC00298,Delta Air Lines,Boeing 737-800,2003-12-31
AC00299,Delta Air Lines,Boeing 747-400,2008-06-14
AC00300,Delta Air Lines,Airbus A350-900,1997-05-25
AC00301,Delta Air Lines,Airbus A350-900,2021-02-10
AC00302,Delta Air Lines,Boeing 737 MAX 8,2021-11-30
AC00303,Delta Air Lines,Boeing 737-800,2001-09-14
AC00304,Delta Air Lines,Boeing 777-300ER,2003-04-22
AC00305,Delta Air Lines,Airbus A330-300,2008-10-07
AC00306,Delta Air Lines,Airbus A380-800,2008-02-22
AC00307,Delta Air Lines,Airbus A380-800,1998-11-14
AC00308,Delta Air Lines,Airbus A320-200,2011-05-24
AC00309,Delta Air Lines,Boeing 747-400,2004-10-18
AC00310,Delta Air Lines,Airbus A380-800,1998-02-04
AC00311,Delta Air Lines,Boeing 737-800,1998-02-24
AC00312,Delta Air Lines,Boeing 737 MAX 8,2019-03-16
AC00313,Delta Air Lines,Boeing 737-800,2010-02-09
AC00314,Delta Air Lines,Boeing 737-800,2014-05-10
AC00315,Delta Air Lines,Boeing 737-800,2017-09-16
AC00316,Delta Air Lines,Boeing 787-9 Dreamliner,1996-02-26
AC00317,Delta Air Lines,Airbus A220-300,1997-07-27
AC00318,Delta Air Lines,Airbus A320-200,2019-04-02
AC00319,Delta Air Lines,Boeing 787-9 Dreamliner,2005-05-01
AC00320,Delta Air Lines,Airbus A320-200,2015-01-21
AC00321,Delta Air Lines,Boeing 737-800,2018-04-04
AC00322,Delta Air Lines,Boeing 737-800,1996-06-25
AC00323,Delta Air Lines,Boeing 787-9 Dreamliner,2013-09-03
AC00324,Delta Air Lines,Boeing 777-300ER,2015-09-24
AC00325,Delta Air Lines,Boeing 777-300ER,2016-01-01
AC00326,Delta Air Lines,Airbus A350-900,2007-07-21
AC00327,Delta Air Lines,Airbus A380-800,2022-04-02
AC00328,Delta Air Lines,Airbus A330-300,2003-07-01
AC00329,Delta Air Lines,Boeing 777-300ER,2008-06-25
AC00330,Delta Air Lines,Airbus A320-200,1997-02-19
AC00331,Delta Air Lines,Airbus A330-300,2001-05-16
AC00332,Delta Air Lines,Airbus A380-800,2019-09-14
AC00333,Delta Air Lines,Boeing 737 MAX 8,2006-06-18
AC00334,Delta Air Lines,Airbus A330-300,2002-06-02
AC00335,Delta Air Lines,Boeing 737 MAX 8,2006-12-13
AC00336,Delta Air Lines,Boeing 737 MAX 8,1995-10-27
AC00337,Delta Air Lines,Airbus A380-800,2003-08-04
AC00338,Delta Air Lines,Airbus A350-900,2013-06-10
AC00339,Delta Air Lines,Airbus A320-200,2012-12-11
AC00340,Delta Air Lines,Boeing 737-800,2018-11-03
AC00341,Delta Air Lines,Airbus A330-300,1996-10-25
AC00342,Delta Air Lines,Boeing 747-400,2022-12-04
AC00343,Delta Air Lines,Boeing 747-400,2013-08-18
AC00344,Delta Air Lines,Airbus A350-900,2000-08-12
AC00345,Delta Air Lines,Boeing 747-400,1997-01-14
AC00346,Delta Air Lines,Airbus A330-300,2018-09-18
AC00347,Delta Air Lines,Boeing 747-400,1996-08-12
AC00348,Delta Air Lines,Airbus A220-300,2012-12-08
AC00349,Delta Air Lines,Airbus A380-800,2022-04-18
AC00350,Delta Air Lines,Boeing 737-800,2011-05-25
AC00351,Delta Air Lines,Airbus A350-900,2010-07-16
AC00352,Delta Air Lines,Boeing 777-300ER,2018-01-24
AC00353,Delta Air Lines,Boeing 787-9 Dreamliner,2013-03-09
AC00354,Delta Air Lines,Boeing 747-400,1999-09-08
AC00355,Delta Air Lines,Airbus A320-200,2010-06-01
AC00356,Delta Air Lines,Boeing 737 MAX 8,2017-10-04
AC00357,Delta Air Lines,Airbus A350-900,2000-06-17
AC00358,Delta Air Lines,Boeing 737 MAX 8,2004-09-14
AC00359,Delta Air Lines,Boeing 747-400,2002-02-13
AC00360,Delta Air Lines,Airbus A330-300,2019-12-05
AC00361,Delta Air Lines,Airbus A380-800,1998-11-02
AC00362,Delta Air Lines,Boeing 737 MAX 8,2004-09-01
AC00363,Delta Air Lines,Boeing 747-400,2008-06-28
AC00364,Delta Air Lines,Boeing 787-9 Dreamliner,2019-05-08
AC00365,Delta Air Lines,Airbus A330-300,2017-03-31
AC00366,Delta Air Lines,Boeing 787-9 Dreamliner,2015-03-09
AC00367,Delta Air Lines,Airbus A380-800,2007-05-24
AC00368,Delta Air Lines,Boeing 747-400,2003-12-25
AC00369,Delta Air Lines,Boeing 777-300ER,2020-05-02
AC00370,Delta Air Lines,Airbus A380-800,2018-10-03
AC00371,Delta Air Lines,Airbus A320-200,2007-11-21
AC00372,Delta Air Lines,Boeing 747-400,2010-01-24
AC00373,Delta Air Lines,Airbus A380-800,2005-05-20
AC00374,Delta Air Lines,Airbus A380-800,2016-01-23
AC00375,Delta Air Lines,Airbus A380-800,2001-05-24
AC00376,Delta Air Lines,Airbus A350-900,1998-10-04
AC00377,Delta Air Lines,Boeing 787-9 Dreamliner,1996-10-11
AC00378,Delta Air Lines,Boeing 777-300ER,2000-11-30
AC00379,Delta Air Lines,Boeing 777-300ER,2000-12-21
AC00380,Delta Air Lines,Airbus A350-900,2019-12-12
AC00381,Delta Air Lines,Airbus A220-300,2005-07-24
AC00382,Delta Air Lines,Boeing 737-800,2020-08-28
AC00383,Delta Air Lines,Airbus A220-300,2020-02-04
AC00384,Delta Air Lines,Boeing 737-800,2004-11-08
AC00385,Delta Air Lines,Boeing 737 MAX 8,2009-09-12
AC00386,Delta Air Lines,Boeing 787-9 Dreamliner,2003-02-17
AC00387,Delta Air Lines,Airbus A330-300,1996-09-18
AC00388,Delta Air Lines,Boeing 737 MAX 8,1999-11-07
AC00389,Delta Air Lines,Airbus A320-200,2002-07-13
AC00390,Delta Air Lines,Airbus A350-900,2001-10-31
AC00391,Delta Air Lines,Boeing 787-9 Dreamliner,2005-05-03
AC00392,Delta Air Lines,Airbus A320-200,2009-08-12
AC00393,Delta Air Lines,Boeing 777-300ER,2001-09-20
AC00394,Delta Air Lines,Airbus A380-800,2001-11-01
AC00395,Delta Air Lines,Boeing 737 MAX 8,2003-10-07
AC00396,Delta Air Lines,Boeing 747-400,2007-12-02
AC00397,Delta Air Lines,Boeing 737-800,2022-07-21
AC00398,Delta Air Lines,Boeing 777-300ER,2003-07-31
AC00399,Delta Air Lines,Boeing 737-800,2011-04-10
AC00400,Delta Air Lines,Boeing 787-9 Dreamliner,2008-12-24
AC00401,Delta Air Lines,Boeing 737-800,2004-06-18
AC00402,Delta Air Lines,Airbus A220-300,1996-09-16
AC00403,Delta Air Lines,Airbus A380-800,1997-02-05
AC00404,Delta Air Lines,Airbus A380-800,2001-04-18
AC00405,Delta Air Lines,Airbus A350-900,2000-10-15
AC00406,Delta Air Lines,Boeing 747-400,1997-06-10
AC00407,Delta Air Lines,Boeing 787-9 Dreamliner,2011-11-08
AC00408,Delta Air Lines,Airbus A380-800,2020-08-08
AC00409,Delta Air Lines,Airbus A320-200,2011-02-04
AC00410,Delta Air Lines,Airbus A220-300,2008-08-28
AC00411,Delta Air Lines,Airbus A380-800,2018-09-29
AC00412,Delta Air Lines,Boeing 787-9 Dreamliner,2002-06-08
AC00413,Delta Air Lines,Boeing 737 MAX 8,2012-11-02
AC00414,Delta Air Lines,Airbus A220-300,2014-02-04
AC00415,Delta Air Lines,Airbus A320-200,2022-02-09
AC00416,Delta Air Lines,Airbus A320-200,2002-09-16
AC00417,Delta Air Lines,Airbus A320-200,2007-02-15
AC00418,Delta Air Lines,Airbus A320-200,2005-07-20
AC00419,Delta Air Lines,Boeing 777-300ER,2020-09-24
AC00420,Delta Air Lines,Boeing 737-800,2004-02-19
AC00421,Delta Air Lines,Airbus A330-300,1997-01-05
AC00422,Delta Air Lines,Boeing 777-300ER,2004-05-28
AC00423,Delta Air Lines,Boeing 777-300ER,2021-03-30
AC00424,Delta Air Lines,Boeing 737 MAX 8,2020-05-11
AC00425,Delta Air Lines,Boeing 787-9 Dreamliner,2017-02-16
AC00426,Delta Air Lines,Boeing 737 MAX 8,2002-11-17
AC00427,Delta Air Lines,Boeing 737-800,2012-11-15
AC00428,Delta Air Lines,Boeing 747-400,2007-06-28
AC00429,Delta Air Lines,Boeing 737 MAX 8,2006-08-21
AC00430,Delta Air Lines,Boeing 787-9 Dreamliner,2018-02-13
AC00431,United Airlines,Boeing 777-300ER,2010-03-23
AC00432,United Airlines,Boeing 737-800,2019-12-21
AC00433,United Airlines,Airbus A330-300,1995-09-21
AC00434,United Airlines,Boeing 747-400,2010-11-15
AC00435,United Airlines,Airbus A330-300,1995-04-28
AC00436,United Airlines,Airbus A330-300,2014-05-10
AC00437,United Airlines,Airbus A380-800,2015-07-17
AC00438,United Airlines,Airbus A330-300,2015-11-25
AC00439,United Airlines,Boeing 737 MAX 8,1995-04-21
AC00440,United Airlines,Boeing 737-800,2016-08-05
AC00441,United Airlines,Boeing 777-300ER,2020-12-11
AC00442,United Airlines,Boeing 787-9 Dreamliner,1997-08-15
AC00443,United Airlines,Airbus A320-200,2011-03-04
AC00444,United Airlines,Boeing 737 MAX 8,2019-07-25
AC00445,United Airlines,Airbus A380-800,2014-10-27
AC00446,United Airlines,Boeing 777-300ER,2012-06-25
AC00447,United Airlines,Airbus A320-200,2015-09-30
AC00448,United Airlines,Airbus A330-300,2020-12-21
AC00449,United Airlines,Airbus A330-300,2017-05-13
AC00450,United Airlines,Airbus A330-300,2015-12-20
AC00451,United Airlines,Boeing 777-300ER,2018-04-03
AC00452,United Airlines,Airbus A220-300,2010-07-17
AC00453,United Airlines,Airbus A350-900,1999-09-29
AC00454,United Airlines,Boeing 747-400,1997-10-06
AC00455,United Airlines,Boeing 737 MAX 8,2020-12-21
AC00456,United Airlines,Airbus A320-200,2000-10-19
AC00457,United Airlines,Boeing 787-9 Dreamliner,2017-10-19
AC00458,United Airlines,Airbus A330-300,2008-07-21
AC00459,United Airlines,Boeing 777-300ER,2010-12-25
AC00460,United Airlines,Boeing 737 MAX 8,2001-04-10
AC00461,United Airlines,Airbus A220-300,1995-01-16
AC00462,United Airlines,Airbus A320-200,2012-02-27
